Day	Tmax	Sun Hours
1	1.4	0.0
2	3.5	1.5
3	2.6	5.9
4	0.7	1.1
5	1.2	4.0
6	-0.5	7.0
7	1.6	0.2
8	4.9	3.6
9	-0.7	1.1
10	2.5	0.0
11	7.8	3.1
12	9.3	0.0
13	8.5	0.4
14	5.9	0.0
15	5.7	0.5
16	8.4	0.0
17	8.9	5.2
18	6.2	6.3
19	5.9	1.2
20	5.7	2.6
21	7.8	4.9
22	9.0	1.6
23	5.7	1.6
24	6.5	3.2
25	6.5	0.1
26	7.5	3.6
27	7.1	5.7
28	6.3	0.0
29	4.7	4.1
30	5.3	3.9
31	4.9	3.8
32	1.9	3.3
33	0.0	0.5
34	2.7	5.3
35	2.6	6.6
36	1.2	0.8
37	0.4	0.0
38	2.5	5.8
39	4.1	5.0
40	3.8	0.0
41	4.0	5.5
42	4.9	5.6
43	3.3	5.2
44	4.6	6.0
45	6.3	5.1
46	7.1	0.3
47	10.4	5.6
48	10.5	0.8
49	8.2	0.0
50	9.1	1.6
51	8.8	4.2
52	11.1	8.6
53	9.6	0.1
54	10.1	1.6
55	10.0	0.0
56	8.8	0.0
57	8.8	0.8
58	12.8	4.7
59	10.2	2.0
60	9.9	2.8
61	11.0	8.1
62	10.0	1.0
63	7.4	6.4
64	6.8	5.6
65	9.2	8.2
66	11.7	3.8
67	9.3	6.6
68	9.9	8.8
69	11.9	2.4
70	12.7	7.4
71	12.2	2.0
72	10.1	0.1
73	12.0	3.3
74	13.3	9.3
75	15.3	10.4
76	13.6	7.3
77	14.3	11.1
78	13.0	10.8
79	11.5	9.6
80	14.2	11.2
81	13.7	9.1
82	11.6	2.4
83	10.1	8.3
84	10.8	4.4
85	12.7	2.3
86	9.6	4.6
87	9.2	2.7
88	9.1	5.7
89	11.9	6.3
90	12.5	0.0
91	15.2	7.8
92	14.0	6.3
93	13.8	5.1
94	15.2	8.9
95	13.6	7.2
96	16.2	5.4
97	14.1	6.1
98	14.4	10.7
99	13.3	0.3
100	13.3	0.6
101	10.0	0.0
102	10.5	0.0
103	15.5	4.1
104	15.6	6.0
105	19.7	5.9
106	12.3	0.0
107	11.4	0.0
108	14.6	8.3
109	14.7	9.1
110	16.5	10.1
111	18.5	12.3
112	17.5	11.0
113	17.7	9.3
114	17.9	10.5
115	14.5	6.2
116	16.3	11.5
117	9.3	1.3
118	13.4	5.0
119	15.8	11.2
120	15.8	4.5
121	18.4	8.0
122	16.7	10.3
123	13.1	9.0
124	12.9	2.7
125	18.1	5.2
126	17.9	7.5
127	15.3	3.2
128	14.3	8.5
129	15.0	9.4
130	17.6	10.3
131	14.7	12.8
132	15.1	11.6
133	13.4	0.0
134	15.8	0.7
135	14.6	2.3
